____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
OEZE,Ezetimibe,Ezetrol 10mg,CAVS,,___:_____(B024058100),,RT,10 mg once daily.,,,,_______,,,,,,,,,,
OELME,Dihydroergotoxine,Elmesatt 2mg,CAVS,,___:Adjunct in treating symptoms of mild to moderate dementia in the elderly ___: Abdominal cramps_ nausea_ vomiting_ headache_ blurred vision_ skin rashes_ nasal congestion_ flushing of the skin_ dizziness_ bradycardia_ & orthostatic hypotension __: Severe bradycardia.,,__,Should be taken with food 1 tab tid.,,,,____,,,Contraindicated _______,,,,,,,
OCHA1,Varenicline,CHAMPIX 1mg,ZADT,Aid to smoking cessation treatment.,,Nausea_ sleep disturbance_ constipation_ flatulence_ vomiting. Diarrhea_ gingivitis_ chest pain_ flu-like illness_ edema_ thirst_ abnormal liver function test_ increased weight_ arthralgia_ back pain_ muscle cramp_ musculoskeletal pain_ myalgia_ attention disturbance_ dizziness_ sensory disturbance_ anxiety_ depression_ emotional disorder_ irritability_ restlessness_ polyuria_ menstrual disorder_ epistaxis_ respiratory disorders_ hyperhidrosis_ hot flush_ HTN. Gastrointestinal: Constipation (5% to 8% )_ Flatulence (6% to 9% )_ Nausea (16% to 40% )_ Vomiting (1% to 5% ) Neurologic: Dream disorder (9% to 13% )_ Headache (15% to 19% )_ Insomnia (18% to 19% ),25_,Days 1-3: 0.5 mg once daily.Days 4-7: 0.5 mg twice daily.Days 8 and later (maintenance): 1 mg twice daily. Continue maintenance dose for at least 11 weeks to 1 year (for a total of at least 12 weeks of treatment).Approaches to selecting a tobacco quit date: May either choose a fixed quit date (ie_ start varenicline_ then quit on day 8) or a flexible quit date (ie_ start varenicline_ then quit between days 8-35). Alternatively_ consider a gradual quit date (ie_ start varenicline and reduce smoking 50% by week 4_ reduce an additional 50% by week 8_ and continue reducing with a goal of complete abstinence by week 12) followed by a maintenance dose for 12 weeks (for a total of at least 24 weeks of treatment).,______,,_____,_______,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,AC;AC15;PC;PO;WM;,,,,,
EAZE,Azelastine,Azela nasal spray 100dose,TENT,,___: Allergic rhinitis. ___: Rarely_ irritation of inflamed nasal mucosa on spraying. Improper administration may produce a taste disturbance. Gastrointestinal: Abnormal taste in mouth_ Bitter (nasal_ 4% to 19.7%; ophthalmic_ approximately 10% ) Neurologic: Headache (nasal_ 1% to 14.8%; ophthalmic_ approximately 15% )_ Somnolence (up to 11.5% ) Ophthalmic: Burning sensation in eye (ophthalmic_ 30% ) Respiratory: Epistaxis (1% to 7% )_ Nasal irritation (nasal_ 1% to 4% )_ Pharyngitis (nasal_ 3.8%; ophthalmic_ 1% to 10% )_ Rhinitis (adults nasal_ 2.3%; children nasal_ 17%; ophthalmic_ 1% to 10% )_ Sneezing (3.1% ) Other: Fatigue (nasal_ 2% to 2.3%; ophthalmic_ 1% to 10% ),,__,>6 ys 1 puff into each nostril bid.,,,,_______,,,,,,,,,,
EPAT,NaCl + KCl + Boric Acid,Patear eye lotion 10mL,TOPH,Dry eyes_ eye wash solution.,People with a history of allergy to the ingredients of this medicine.,Occasional eye redness_ swelling_ burning_ and stinging sensation.,25___,Usually 2-3 drops at a time_ apply 5-6 times a day.,______,,______,____,Uknown ____,,Unknown ____,,OD;OL;OU;,,,,,
OCON1,Bisoprolol,Concor 1.25mg___,CAVS,1.25 mg & 2.5 mg tab Stable chronic moderate to severe heart failure. 5 mg & 10 mg tab Management of hypertension_ angina pectoris & stable_ chronic moderate to severe heart failure (NYHA class III_ IV).,Acute heart failure or during episodes of heart failure decompensation requiring IV inotropic therapy_ cardiogenic shock_ AV block of grades II & III (without pacemaker)_ sick sinus syndrome_ SA block_ bradycardia with < 60 beats/min; severe bronchial asthma or severe COPD_ hypotension (systolic BP < 100 mmHg)_ advanced stages of peripheral arterial circulatory disturbance & Raynaud's syndrome_ untreated pheochromocytoma_ metabolic acidosis.,Feeling of coldness or numbness in the extremities_ nausea_ vomiting_ diarrhea_ constipation. Tiredness_ exhaustion_ dizziness_ headache (occur at the beginning of the therapy & usually disappear within 1-2 weeks). Gastrointestinal: Diarrhea (2.6% to 3.5% ) Neurologic: Headache (8.8% to 10.9% ) Respiratory: Rhinitis (2.9% to 4% )_ Upper respiratory infection (4.8% to 5% .) Other: Fatigue (6.6% to 8.2%),25___,Stable mild to server chronic heart failure: Patient must be treated at optimal dose with an ACE inhibitor_ a diuretic_ & optionally cardiac glycosides_ prior to the administration of bisoprolol. Titrate gradually as follows: Week 1: 1.25 mg QD. Week 2: 2.5 mg QD. Week 3: 3.75 mg QD. Week 4-7: 5 mg QD. Week 8-11: 7.5 mg QD. Week 12 and beyond: 10 mg QD as maintenance therapy. Maximum: 10 mg daily.,______,______: 2.5 mg ORALLY once daily ____:10 mg ORALLY once daily,______,____,Human data suggest risk in 2nd and 3 rd trimesters,[__] ___________________________________-______________________________________________________________________________________ ______________________________________ 3 _____,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,[__] ______ bisoprolol fumarate __________ bisoprolol fumarate _______ ______________,AC;AC15;PC;PO;WM;,,,,,
IHEP,Heparin,Heparin inj 25KIU/5mL,HEMT,,___: Unstable angina; Venous thromboembolism; Peripheral arterial embolism_ Prevention of re-occlusion of the coronary arteries following thrombolytic therapy _ Venous thromboembolism _Prophylaxis of post-op venous thromboembolism_ Prevention of mural thrombosis ___:Slight fever_ headache_ chills_ nausea_ vomiting_ constipation_ epistaxis_ bruising_ slight haematuria_ skin necrosis (SC inj)_ osteoporosis_ alopecia. Hypersensitivity reactions include urticaria_ conjunctivitis_ rhinitis_ asthma_ angioedema and anaphylactic shock. Priapism. Potentially Fatal: Heparin-induced thrombocytopenia with or without thrombosis; bleeding Dermatologic: Erythema_ Injection site ulcer_ After deep subcutaneous injection Hematologic: Hematoma_ Heparin-induced thrombocytopenia (up to 30% ) Neurologic: Pain (Mild) Other: Irritation symptom_ Local __: Patients predisposed to active bleeding including thrombocytopenia_ peptic ulcer disease_ cerebrovascular disorders_ haemorrhagic blood disorders_ bacterial endocarditis_ severe hypertension_ oesophageal varices. Recent surgery at sites where haemorrhage would be an especial risk. Severe renal and hepatic impairment. Cerebral or subarachnoid haemorrhage_ abdominal or thoracic bleeding into closed space_ severe traumatic bleed_ hepatic_ renal_ splenic or arterial injury_ severe haemostatic defect_ arterial thrombosis with heparin-associated thrombocytopenia. IM admin.,,15-30_,IV Unstable angina; Venous thromboembolism; Peripheral arterial embolism Loading dose: 5_000 u_ then 1_000-2_000 u/hr. Prevention of re-occlusion of the coronary arteries following thrombolytic therapy in MI 5_000 u_ then 1_000 u/hr w/ alteplase. SC Venous thromboembolism 15_000 u 12 hrly. Prophylaxis of post-op venous thromboembolism 5_000 u 2 hr before surgery_ then 8-12 hrly for 7 days or until patient is ambulant. Prevention of mural thrombosis 12_500 u 12 hrly for at least 10 days,,,,_______,,,Compatible ______,,,,,,,1._______
IHBIG,Hepatitis B Immune Globulin,HBIG (B___________) 0.5mL/dose,HIMM,Prophylaxis of hepatitis B.,Severe platelet deficiency or other coagulation disorders.,Occasionally temporary tenderness at inj site_ skin reactions & elevations of temperature.,2-8_____,IM_ acute exposure to blood containing HBsAg 0.06 mL/kg within 24 hours. Prophylaxis of infants born to HBsAg & HBeAg postive mothers 0.5 mL to be given within 12 hours of birth. Sexual exposure to an HBsAg postive person 0.06 mL/kg as a single dose within 14 days of sexual contact. Household exposure to persons with acute HBV infection Infants < 12 months 0.5 mL.,______,There are no dosage adjustments provided in the manufacturer’s labeling.,______,_______,Compatible,[__]______________________________________,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,IM;,,,,,
ODAL3,Flurazepam,Dalmadorm 30mg,CNEU,,,,,,,,,,,,,,,,,,,
OPROG,Progesterone,Progeffik 100mg,HM,,___: Progesterone eficiency_ Luteal insufficiency: premenstrual syndrome_ benign mastopathy_ menstrual irregularities_ Prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogen HRT _ Oocyte donation programme from the day of transfer till pregnancy is confirmed_ Luteal support in IVF or embryo transfer starting with the day of inj of hCG up to the 12th week of pregnancy_ Repeated abortions up to the 12th week of pregnancy. ___: Abdominal pain_ perineal pain_ headache_ constipation_ diarrhea_ nausea_ joint pain_ depression_ decreased libido_ nervousness_ somnolence_ breast tenderness & pain_ dyspareunia_ nocturia_ allergy_ bloating_ cramps_ fatigue_ pain_ dizziness_ vomiting_ genital moniliasis & pruritus_ aggressive reactions_ forgetfulness_ vag dryness_ cystitis_ UTI_ vag discharge. Gastrointestinal: Abdominal pain (oral_ 10% to 20%; vaginal gel_ 5% to 12%; vaginal insert_ 12% )_ Constipation (vaginal gel_ 27%; vaginal insert_ 2% to 3% )_ Nausea (oral_ 8%; vaginal gel_ 6% to 22%; vaginal insert; 7% to 8% ) Immunologic: Viral disease (oral_ 7% to 12% ) Musculoskeletal: Cramp (vaginal gel_ 15% to 26% ) Neurologic: Dizziness (oral_ 15% to 24%; vaginal gel_ 5% )_ Headache (oral_ 10% to 31%; vaginal gel_ 13% to 19%_ vaginal insert_ 3% to 4% )_ Sleep disorder (vaginal gel_ 18% )_ Somnolence (vaginal gel_ 27% ) Psychiatric: Depression (oral_ 19%; vaginal gel_ 11% to 19% )_ Feeling nervous (vaginal gel_ 16% )_ Mood swings (oral_ 6%; vaginal gel_ 22% to 23% ) Reproductive: Breast tenderness (oral_ 16% to 27% )_ Large breast (vaginal gel_ 40% )_ Pain_ Post-oocyte retrieval (vaginal insert_ 25% to 28% )_ Pain of breast (oral_ 6% to 16%; vaginal gel_ 13% )_ Perineal pain (vaginal gel_ 17% ) Other: Fatigue (oral_ 8% to 9%; vaginal gel_ 21% to 22%; vaginal insert_ 2% to 3% ) __: Undiagnosed vag bleeding; known or suspected malignancy of breast or genital organs; severe liver dysfunction or disease; thrombophlebitis_ thromboembolic disorders_ cerebral apoplexy or patients with a history of these conditions; missed abortion; as a diagnostic test for pregnancy.,,__,Revention: 200-400 mg q8h on the 1st day_ then 100-200 mg q8h afterward till 36th week of pregnancy. Supplement: 100-200 mg hs x 10-14 days (may give an extra 100 mg in the morning if needed) starting from the 12th day of the menstrual cycle.,,,,____,,,,,,,,,,
