ÃÄ«~¥N½X,¾A¥Î±Ú¸s(¦¨¤H/¨àµ£),ÀËÅç¤è¦¡,¤U­­,¤W­­,¤U­­³æ¦ì,¤W­­³æ¦ì,«ØÄ³,³Æµù,·s¼W®É¶¡,­×§ï®É¶¡
EASA,¦¨¤H,eGFR,0,30.00,mL/min/1.73m2,mL/min/1.73m2,ÄY­«µÇ¥\¯à¤£¥þªÌ¸T¥Î(GFR­È¤p©ó30²@¤É/¨C¤ÀÄÁ/1.73m2),¥é³æ,202210241552,202210241554
EDDA,¦¨¤H,Clcr,0,50.00,mL/min,mL/min,¤¤«×¨ìÄY­«ªºµÇ¥\¯à¤£¥þ¯f±w¤£«ØÄ³¨Ï¥Î,,201907241536,201804242350
EDUR1,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141207,202107141205
EDUR1,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141207,202107141205
EDUR2,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Mild-to-moderate impairment: Initial: Reduce dose by 50%. Severe impairment: Use not recommended.,,201805281457,
EFEN,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141207,202107141205
EFEN,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141207,202107141205
EOPI,¦¨¤H,eGFR,30.00,0,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (severe): Avoid use,Micromedex 20210714,202107141205,202107141205
EOPI,¦¨¤H,eGFR,60.00,30.00,mL/min/1.73m2,mL/min/1.73m2,Renal impairment (mild to moderate): Initiate with 50% of the usual dosage,Micromedex 20210714,202107141200,202107141205
ESIM,¦¨¤H,Clcr,0,29.99,mL/min,mL/min,Use is contraindicated.,,201806251600,201806251604
EVORS,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,Significant impairment or advanced renal disease: Use is not recommended.,,201912091137,201912091137
IACE,¦¨¤H,Clcr,59.99,0,mL/min,mL/min,Reduced Dose at Fixed-Time Intervals  An alternative rough guide for calculating a reduced dose at a fixed 12-hour interval in patients with known steady-state serum creatinine values is to divide the normally recommended dose by the patient's serum creatinine.,Micromedex 20210708,202107081134,202107081135
IACE,¦¨¤H,Clcr,60.00,0,mL/min,mL/min,Reduced Dose at Fixed-Time Intervals  If serum concentrations are not available and the patient condition is stable¡A use the serum creatinine and creatinine clearance (CrCl) values to guide dose adjustment.   To calculate the dose for a fixed-time interval administered every 12 hours (after administration of normal loading dose of 7.5 mg/kg)¡A reduce the normal loading dose in proportion to the reduction in CrCl rate as follows:  maintenance dose every 12 hours = observed CrCl (mL/min)/normal CrCl (mL/min) x 7.5 mg/body weight (kg),Micromedex 20210708,202107081125,202107081135
IACET,¦¨¤H,Clcr,0,10.00,mL/min,mL/min,¨â¦¸¥ÎÃÄ¦Ü¤Ö¶¡¹j8¤p®É,,201804142321,201804142321
IACL,¦¨¤H,Clcr,0,35.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804111604,201804111604
IACTMV,¦¨¤H,Clcr,0,60.00,mL/min,mL/min,¤£»Ý¬°»´«×©Î¤¤«×µÇ¥\¯à¤£¥þ½Õ¾ã¾¯¶q.¥Ø«e©|¥¼°w¹ï­««×µÇ¥\¯à¤£¥þªÌ¨Ï¥Î¤§Àø®Ä»P¦w¥þ©Ê¬ã¨s.,¥é³æ,202106231359,202106231400
IAGG,¦¨¤H,Clcr,0,59.90,mL/min,mL/min,CrCl <60 mL/minute: IV Loading dose: 25 mcg/kg administered over 5 minutes or less; Maintenance infusion: 0.075 mcg/kg/minute continued for up to 18 hours,,201804191220,201910251156
IALF,¦¨¤H,Clcr,0,0,mL/min,mL/min,µÇ¥\¯à¤£¥þªº¯f±wÀ³ÂÔ·V¨Ï¥Î¨Ã¦Ò¼{­°§C¾¯¶q,,201804141456,201804141456
IALI1,¦¨¤H,Clcr,0,45.00,mL/min,mL/min,¸T¤î¨Ï¥Î,,201804301510,
IALI5,¦¨¤H,Clcr,0,45.00,mL/min,mL/min,¸T¤î¨Ï¥Î,,201804301511,
IAMI2,¦¨¤H,eGFR,0,50.00,mL/min/1.73m2,mL/min/1.73m2,Use with caution in patients with renal impairment; dosage adjustment may be necessary. Some products are contraindicated in patients with severe renal failure.,,201804231747,
IAMP,¦¨¤H,Clcr,0,9.99,mL/min,mL/min,change interval to every 12 to 16 hours,,,
IAMP,¦¨¤H,Clcr,10.00,50.00,mL/min,mL/min,change interval to every 6 to 12 hours,,,
IANO,¦¨¤H,Clcr,0,0,mL/min,mL/min,ÄY­«µÇÅ¦¯e¯f©Î¶i¦æ©ÊµÇ·l®`©ÎµÇ¥\¯à»ÙÃª¤§§¹¥þµL§¿¯f±w¤£«ØÄ³¨Ï¥Î,,201907091128,201907100812
IARI,¦¨¤H,Clcr,0,29.90,mL/min,mL/min,Use is contraindicated.,,201804191142,
IARI,¦¨¤H,Clcr,30.00,50.00,mL/min,mL/min,Use caution; total clearance ~40% lower compared to patients with normal renal function. When used for thromboprophylaxis¡A the American College of Chest Physicians suggests a 50% reduction in dose or use of low-dose heparin instead of fondaparinux.,,201804191142,
IBFL,¦¨¤H,eGFR,0,0,mL/min/1.73m2,mL/min/1.73m2,µÇ»ÙÃªªº¯f±wÀ³ÂÔ·V¨Ï¥Î,­«¯gµÇ»ÙÃª©Î°ª´á¦å¯g±wªÌ¤£«ØÄ³¨Ï¥Î,201804261421,201804261421
IBIC,¦¨¤H,eGFR,0,9.99,mL/min,mL/min,Administer 20% to 50% of the normal dose.,Micromedex Solutions. Accessed April 2¡A 2020.,201803281156,202004021546
IBIC,¦¨¤H,eGFR,10.00,50.00,mL/min,mL/min,Administer 75% of the normal dose.,Micromedex Solutions. Accessed April 2¡A 2020.,201803281156,202004021546
IBLE1,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,ÄY­«µÇ¥\¯à¤£¥þªÌ¬°¸T§Ò,,201804301537,
IBOL,¦¨¤H,Clcr,0,30.00,mL/min,mL/min,¤£«ØÄ³¨Ï¥Î,,201804112354,201804112354
IBOL,¦¨¤H,Clcr,30.00,39.00,mL/min,mL/min,½Õ¾ã¦¨ 3.0mg,,201804112354,
IBOL,¦¨¤H,Clcr,40.00,49.00,mL/min,mL/min,½Õ¾ã¦¨ 3.3mg,,201804112354,
IBOL,¦¨¤H,Clcr,50.00,60.00,mL/min,mL/min,½Õ¾ã¦¨ 3.5mg,,201804112353,
IBON,¦¨¤H,Clcr,0,12.00,mL/min,mL/min,¾¯¶q´î¤Ö50%,,201804112356,201804112356
IBON,¦¨¤H,Clcr,12.00,50.00,mL/min,mL/min,¾¯¶q´î¤Ö25%~50%,,201804112356,
IBON,¦¨¤H,Clcr,50.00,80.00,mL/min,mL/min,¾¯¶q´î¤Ö25%,,201804112356,
