"id","drug_code","engname","chiname","ingredients","type","shape","color","category","purpose","sideEffect","comment","photo","no_use","extra_buy","licenseNo3","licenseNo6","ATC_code","update_time","HazardousDrug",
"4","OACT","Actein 100mg/pk 顆粒劑","愛克痰","Acetylcysteine","粉 Powder","包 Pack","橙 Orange","RE-Respiratory System","適應症:化痰及其他用途
Indication:Mucolytics","嗜睡, 發燒, 噁心或嘔吐
Drowsiness, fever, nausea or vomiting","警  語:請配合充分開水服用, 並增加水分的攝取
Precaution: Drink plenty of fluids while you are using the medicine.","acteine_OACT.jpg","Y","N","fda01","027177","R05CB01","2024-07-07 20:09:13","",
"5","OACT3","Actos 30mg","愛妥糖錠30公絲","Pioglitazone","錠劑 Tablet","圓扁形 Round","白 White","ME-Metabolic and Endocrine System","第二型糖尿病
Type 2 diabetes","視力模糊, 疲倦, 冒冷汗, 噁心, 頭痛, 肌肉酸痛
Blurred vision; tiredness; sweating; nausea; headache","長期服用應留意肝功能變化，若體重驟增或水腫應請教醫師。
Monitor liver function. Consult doctor for rapid weight gain or edema.
服用後出現血尿、尿急、小便疼痛、背部腹部疼痛，請立刻回診告知醫師。
Report blood in urine, painful urination, or back/abdominal pain to your doctor.
若發生視力模糊或視力減退，應告知醫師並至眼科檢查。
Report blurred or reduced vision to your doctor and get an eye exam.","OACT3_20240823114002_1.jpg","Y","N","fda02","023206","A10BG03","2024-10-20 13:51:32","",
"6","ONIF","Nifedipine S.R.F.C. 30mg","恆脈循持續性膜衣錠30毫克","Nifedipine","持續釋放錠 SR Tab.","圓凸形 Round","淡紅 Light Red","CV-Cardiovascular System","適應症:狹心症, 高血壓
Indication:Angina pectoris, hypertension.","心跳不規則, 皮膚紅疹, 下肢水腫, 頭暈, 頭痛, 噁心
Irregular or fast, pounding heartbeat, skin rash, swelling of lower legs, dizziness","警  語:服藥期間避免吃葡萄柚或飲用葡萄柚汁，以免影響藥物代謝
Precaution: Avoid grapefruits or related products to prevent risk of interaction.
本品外殼會隨糞便排出體外。
The outer shell does not dissolve and is passed out in your stools.","ONIF_20240410092330_1.jpg","N","N","fda01","057219","C08CA05","2024-04-10 09:23:30","",
"7","OADA3","Adalat OROS 30mg","冠達悅歐樂","Nifedipine","長效錠 ER Tablet","圓扁形 Round","粉紅 Pink","CV-Cardiovascular System","狹心症、高血壓
Angina pectoris, hypertension.","心跳不規則, 皮膚紅疹, 下肢水腫, 頭暈, 頭痛, 噁心
Irregular or fast, pounding heartbeat, skin rash, swelling of lower legs, dizziness","警  語:服藥期間避免吃葡萄柚或飲用葡萄柚汁，以免影響藥物代謝
Precaution: Avoid grapefruits or related products to prevent risk of interaction.","OADA3.jpg","Y","N","fda02","022951","C08CA05","2024-07-07 20:45:03","",
"1579","INTG","NTG inj 0.2mg/mL, 250mL (D5W) Premixed","恩舒注射劑 0.2毫克/毫升","Nitroglycerin","注射劑 Injection","罐(瓶)裝 Bot","無 Colorless","CV-Cardiovascular System","適應症:高血壓, 心肌梗塞, 心衰竭等
Indication:Hypertension, MI, heart failure.","心悸, 心律不整, 血壓突然降低
Tachycardia, arrhythmia, sudden drop of BP.","容器及輸液套需選擇non-PVC材質，使用可控制流速之輸液泵靜脈輸注。
Prepare in non-PVC containers. Use non-PVC administration sets，Administer via infusion pump.
","INTG_201710240324480000003.jpg","Y","N","fda01","056673","C01DA02","2017-10-24 15:25:10","",
"393","OMETH","MethylDOPA 250mg","脈得保","Methyldopa","錠劑 Tablet","圓凸形 Round","黃 Yellow","CV-Cardiovascular System","高血壓
Treatment of hypertension","周邊水腫, 藥物熱, 抑鬱, 焦慮, 噩夢","警 語:請遵照醫師指示使用, 若發生疑似藥物不良反應請告知醫生
Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","OMETH_20140509082654_1.jpg","N","N","fda01","019461","C02AB","2024-07-07 20:47:43","",
"11","OALI","Alinamin-F 50mg","合利他命F50","Thiaine Tetrahydrofurfuryl Disulfide + Riboflavin","錠劑 Tablet","圓凸形 Round","黃 Yellow","NU-Nutrition","神經炎、維生素B1缺乏諸症、神經痛、術後腸管麻痺、眼睛疲勞、神經性膀胱炎
prevent or treat a disease due to a lack of vitamin B1, B2","噁心嘔吐, 休克, 過敏, 頭痛
Rarely, nausea, vomiting, shock, hypersensitivity, headache.","警  語:服用本藥若引起尿液變色，是因藥品代謝所造成
Precaution: May discolor urine to bright yellow.","OALI_202407200415240000000.jpg","N","N","fda12","004085","A11JA,A11HA04,A11DA01","2024-07-20 16:15:24","",
"13","OALL6","Allegra 60mg","艾來錠","Fexofenadine","錠劑 Tablet","橢圓形 Elliptic","橙 Orange","IM-Allergy and Immune System","過敏性症狀;包括鼻炎, 皮膚疹等相關症狀
Seasonal allergic rhinitis","昏昏欲睡, 口、鼻、喉嚨乾, 胃痛或噁心, 頭痛
Sleepy; dryness of mouth, nose, or throat; stomach pain, or nausea; headache.","服藥期間請避食用葡萄柚汁、蘋果汁、柳橙汁。
Avoid grapefruit juice, apple juice, and orange juice while taking this drug.
本藥應與開水併服。
Take the medication with plain water.","OALL6_20240605163830_1.jpg","N","N","fda02","023016","R06AX26","2024-06-05 16:38:30","",
"14","OALU","Aluminum 324mg","氫氧化鋁","Aluminum Hydroxide","錠劑 Tablet","圓扁形 Round","白 White","GI-Gastrointestinal and Hepatobiliary System","降血磷或胃藥之用
As an antacid or phosphate-binding agent.","便秘
Constipation","本品可嚼碎後吞服。
腎功能障礙者小心使用並監測血磷濃度。
Chew thoroughly and swallow. 
Should be used with caution in chronic renal impairment and monitor serum phosphate level.","Aluminum324.jpg","N","N","fda12","001706","A02AB01","2022-11-22 10:45:04","",
"15","OGLU2","Glusafe 2mg","醣安錠","Glimepiride","錠劑 Tablet","8字形 Figure 8","綠 Green","ME-Metabolic and Endocrine System","第二型糖尿病
Treatment of type 2 diadetes.","低血糖, 暫時性視覺障礙, 腸胃機能障礙
Hypoglycemia, temporary visual impairment, GI disturbances.","警  語:可能會引起噁心或腸胃不適的現象，並注意血糖變化。服藥期間避免飲酒 (可能增加低血糖的危險)。
Precaution:Nausea or upset stomach may occur, monitor blood glucose levels. Avoid ethanol (may cause hypoglycemia).","OGLU2.jpg","Y","N","fda01","046074","A10BB12","2015-12-31 09:38:49","",
"16","OAMI","Aminophylline 100mg","氨基非林錠","Aminophylline","錠劑 Tablet","圓扁形 Round","白 White","RE-Respiratory System","為支氣管擴張劑
Bronchial smooth muscle relaxant","心灼熱, 心跳過快, 頭痛, 排尿增加, 發抖, 睡眠障礙
Heartburn, fast heartbeat, headache, increased urination, trembling","警  語:請遵照醫師指示用藥，勿自行更改劑量或用藥時間
Precaution: Take this medicine exactly as your doctor ordered
食物交互作用: 服藥期間避免飲食含咖啡因的飲料或食物。
Food interaction: Avoid food or beverages containing caffeine.","Aminophylline 100mg-OAMI 20130120.jpg","Y","N","fda12","003633","R03DA05","2024-07-07 20:45:07","",
"17","OAMIO","Cordarone 200mg","臟得樂錠","Amiodarone","錠劑 Tablet","圓扁形 Round","白 White","CV-Cardiovascular System","心律不整。Wolff-Parkinson-White氏症候群、上室性及心室性心搏過速、心房撲動、心房纖維顫動、心室纖維顫動。Antiarrhythmias","頭暈, 頭重腳輕, 昏厥, 輕微發燒, 手指(腳趾)麻木
Dizziness, lightheadedness, or fainting; fever (slight); numbness in fingers","警  語:用藥期間，避免直接曝曬在陽光下，若有不適請停止使用
Precaution:Avoid exposure to sunlight directly.
食物交互作用: 服藥期間避免食用葡萄柚汁
Food interaction: Avoid grapefruit juice","OAMIO_20240605163703_1.jpg","N","N","fda02","014822","C01BD01","2024-07-07 20:09:53","",
"804","OTRE","Trenfylline 400mg","循血敏持續性膜衣錠","Pentoxifylline","錠劑 Tablet","橢圓形 Elliptic","白 White","CV-Cardiovascular System","末梢血管循環障礙
Treatment of peripheral vascular disease","","警  語:請遵照醫師指示使用, 若發生疑似藥物不良反應請告知醫生
Precaution: Follow the doctor&#039;s advice, check with your doctor if you notice any side effects.","Trenfylline 400 mg.jpg","Y","N","","","","2023-11-22 09:49:01","",
"19","OAMO2","Amoxicillin 250mg","安蒙西林250","Amoxicillin","硬膠囊 Hard Cap.","膠囊形 Capsule","橙.白 Orange.White","AI-Anti-infective Agents","治療細菌感染(葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症)
Antibiotic for infection.","輕微腹瀉, 頭痛
Diarrhea (mild), hedache.","警  語:請遵指示服完整個療程，若發生用藥不良反應請告知醫生
Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","Amoxicillin.JPG","N","N","fda01","012051","J01CA04","2024-07-07 20:45:10","",
"20","OAMO5","AMOXICILLIN 500mg","安莫西林500","Amoxicillin","硬膠囊 Hard Cap.","膠囊形 Capsule","紅.黃 Red.Yellow","AI-Anti-infective Agents","治療細菌感染(葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎球菌及其他具有感受性細菌引起之感染症)
Antibiotic for infection.","輕微腹瀉, 頭痛
Diarrhea (mild), hedache.","警  語:請遵指示服完整個療程，若發生用藥不良反應請告知醫生
Precaution: Follow the doctor&#039;s advice, check with doctor if you notice any side effects.","OAMO5.jpg","Y","N","fda01","025866","J01CA04","2024-07-07 20:45:12","",
"22","OAND","Androcur 50mg","安得卡錠","Cyproterone","錠劑 Tablet","圓扁形 Round","白 White","ON-Oncolytic Agents","抗雄性激素。男性：嚴重性慾過強、抗雄性素治療前列腺腫瘤　女性：嚴重的男性化徵狀、青春痘、多毛症。
Antiandrogen with progestogenic activity","情緒改變, 坐立不安, 乳房脹痛, 疲倦, 潮紅
Mood depression, restlessness, breast tenderness,  fatigue, hot flushes.","警  語:本品可能會降低您的注意力、警覺性及動作協調能力
Precaution: May cause dizziness, weakness, incoordination","OAND_202404140203110000003.jpg","N","N","fda02","012554","G03HA01","2024-07-07 20:54:57","二級危害性",
"24","OANT","Antisemin 4mg","安清敏錠","Cyproheptadine","錠劑 Tablet","圓扁形 Round","白 White","IM-Allergy and Immune System","抗組織胺藥;主治過敏性鼻炎、蕁麻疹、過敏性皮膚;鼻塞等
Antihistamines & antiallergics","昏昏欲睡, 口乾, 胃痛或噁心, 頭痛, 體重增加
Indication:Antihistamines & antiallergics","警  語:部分人使用後可能引起疲倦、睏睡的現象
Precaution: May cause tiredness, sleepiness.","ANTISEMIN-OANT.jpg","Y","N","fda01","016712","R06AX02","2015-02-23 15:10:56","",
"1943","OKLA5X","Klaricid XL 500mg","開羅理黴素持續性藥效錠500 毫克","Clarithromycin","持續性藥效錠 XL Tablet","橢圓形 Elliptic","黃 Yellow","AI-Anti-infective Agents","細菌性感染
Antibiotic for infection.","腹瀉, 嘔吐, 腹痛, 消化不良, 噁心
Diarrhea, vomiting, abdominal pain, dyspepsia, nausea.","請勿將本藥壓碎或咀嚼。本藥建議隨餐使用。
請遵指示服完整個療程, 若發生用藥不良反應請告知醫生
如有心悸、胸痛、暈厥不適症狀，應停藥立即回診。
Should be swallowed whole and not chewed. And taken with meals.
Follow the doctor&#039;s advice. Check with the doctor if you notice any side effects.
Stop taking and seek medical immediately if palpitations, chest pain, fainting","OKLA5X_202211300230070000004.jpg","N","N","fda02","023078","J01FA09","2022-11-30 14:30:07","",
